368081970,2023-01-01T00:02:32,30.10462,-93.28591,0,127.8,511,RALPH,,WDK7184,0,0,30,10,5.4,0,A
367420170,2023-01-01T00:05:35,21.31014,-157.87102,0,359.8,313,TIRA LANI,IMO8972962,WCZ5237,31,5,22,9,,52,A
367131000,2023-01-01T00:05:06,27.80947,-97.33651,0.2,248.3,511,ALASKA,,WDD5749,90,3,67,17,,33,A
311000460,2023-01-01T00:05:47,28.43181,-94.84694,0.5,293.2,292,SELETAR SPIRIT,IMO9484077,C6CF8,80,3,242,42,15.3,80,A
367597240,2023-01-01T00:06:00,40.62978,-74.07241,0,17.3,113,FDNY FIRE FIGHTER II,,WDH2405,90,5,38,,,51,A
367654950,2023-01-01T00:05:08,27.32612,-97.39667,4.2,20.9,511,BROWN WATER XIV,,WDH8127,31,12,22,8,,31,A
368079000,2023-01-01T00:05:48,29.65832,-91.02887,0,261.4,275,SEA SCOUT,IMO9601120,WDG2181,90,3,40,10,2,38,A
367359940,2023-01-01T00:05:12,41.31675,-72.06079,0,281.7,511,CONNECTICUT,,WCY4995,60,5,20,7,,90,A
366816340,2023-01-01T00:05:49,33.91669,-78.02336,0.1,302.5,511,CAPE FEAR PILOT II,,WDA5087,90,0,15,5,,50,A
366997930,2023-01-01T00:05:19,29.94283,-90.3765,6.1,139,118,RAY ECKSTEIN,IMO8635863,WDC2804,31,0,20,7,,52,A
366972280,2023-01-01T00:05:55,29.76048,-94.91696,0,239.9,511,JOEY DEVALL,,WYB7063,31,0,18,7,,31,A
636016673,2023-01-01T00:05:52,36.7195,-75.61524,0,279.2,170,K PEGASUS,IMO9267637,D5HF9,70,1,299,40,14,79,A
369385000,2023-01-01T00:05:56,29.3197,-94.78546,0,242,122,AET PARTNERSHIP,IMO9643518,WDG2905,90,5,56,14,4,99,A
367514640,2023-01-01T00:05:56,37.08432,-88.59081,0,291.5,511,ZELDA HUMPHREY,IMO8423870,WDG2340,31,15,20,,,31,A
367031390,2023-01-01T00:05:59,36.83893,-76.29144,0,230.6,334,CAPTAIN HANK,,WCR9342,31,0,22,8,,52,A
366967080,2023-01-01T00:06:16,36.03681,-89.67954,0,85.7,511,C B FORD,,WSP4995,31,0,22,9,,31,A
368247290,2023-01-01T00:05:56,30.07963,-91.30775,1.2,0.1,511,DEBBIE L OWEN,,WDM8876,57,0,207,22,3,57,A
233387000,2023-01-01T00:06:19,26.7792,-80.05349,0,50.1,177,SHERGAR,,GDDX,37,5,,,,37,A
316030409,2023-01-01T00:06:20,48.66972,-123.40496,0,183,155,FREED RADICAL,,,37,0,,,,37,A
339711000,2023-01-01T00:06:06,26.11715,-80.10827,0,245.6,271,JUST ENOUGH,,6YTN7,0,5,43,8,2.5,0,A
357997000,2023-01-01T00:06:09,18.3467,-68.05946,11.9,16.7,13,NORD TREASURE,IMO9566459,3ESI7,70,0,189,32,12.7,70,A
316003668,2023-01-01T00:06:12,49.14335,-123.03597,0,223.6,81,SEASPAN GREG,IMO6420484,VGNK,31,5,99,17,3.9,99,A
368225320,2023-01-01T00:06:41,40.4828,-80.05623,0.1,265.1,511,HALEY MICHELLE,,WDM6444,57,0,20,7,3,57,A
477286300,2023-01-01T00:06:21,32.02877,-80.42035,0,125.5,233,COSCO CAMELLIA,IMO9785782,VRSK6,70,1,366,48,12.9,70,A
338186356,2023-01-01T00:02:04,26.41889,-80.06872,0,241.5,511,TIL,,,37,0,16,4,,97,A
366984840,2023-01-01T00:02:24,38.82968,-90.10814,0,165,23,COOP VANGUARD,,WDB9900,31,5,47,12,,52,A
367557410,2023-01-01T00:02:28,29.76053,-91.67121,4.8,270.5,511,ALEX D,,WDG6475,31,12,23,,,57,A
367746820,2023-01-01T00:02:35,33.47968,-88.44928,0,297.2,511,KAYE LYNNE,,WDI9252,31,12,15,6,,31,A
367131000,2023-01-01T00:02:35,27.80943,-97.33648,0,219.5,511,ALASKA,,WDD5749,90,3,67,17,,33,A
367651550,2023-01-01T00:05:36,30.02662,-90.11621,0,204.6,350,ISLAND WATERS,,WDH7776,37,,,,,,B
366999645,2023-01-01T00:02:42,38.58711,-90.2091,0,158.6,49,CG CHEYENNE,,NAGF,90,5,22,6,,52,A
367079560,2023-01-01T00:05:34,29.39802,-89.01273,0.3,360,511,MS DEE,IMO8973497,WDC7960,60,0,35,7,,60,A
367620140,2023-01-01T00:05:39,29.78547,-95.09063,0,76.9,511,EAGLE,IMO8990940,WDH4673,31,12,20,7,,52,A
564220000,2023-01-01T00:05:37,23.61942,-83.27538,12.1,90,90,THOR MERCURY,IMO9300221,9V2557,70,0,189,32,12.5,70,A
368037610,2023-01-01T00:02:04,18.23011,-65.6203,0.5,103.9,302,BREEZY POINT,,WDK2653,60,0,24,9,2.1,60,A
367614940,2023-01-01T00:05:37,30.17857,-89.42604,6,247.7,249,JERIS AUTHEMENT,,WDH4175,31,0,26,,,52,A
367637540,2023-01-01T00:05:39,27.82184,-97.48434,0,262.6,219,CAPT FRANK BANTA JR,,WDH6399,31,0,27,,,52,A
367539760,2023-01-01T00:05:38,26.77692,-80.05106,0,360,511,CAPT BUD,,WDG4754,31,5,18,,,52,A
367474570,2023-01-01T00:05:52,38.1113,-90.24939,0,299.1,511,ROGER BINSFELD,,WDF6467,31,0,21,9,,31,A
